"platform","genre","max_genre"
"2600","Action",29.25
"3DO","Puzzle",14.71
"3DS","Action",86.16
"DC","Action",87.42
"DS","Role-Playing",203.17
"GB","Role-Playing",291.41
"GBA","Role-Playing",355.61
"GC","Role-Playing",368.77
"GEN","Role-Playing",369.04
"GG","Platform",302.62
"N64","Role-Playing",372.39
"NES","Platform",434.50
"NG","Sports",158.60
"PC","Role-Playing",438.80
"PCFX","Role-Playing",438.83
"PS","Action",523.53
"PS2","Action",796.24
"PS3","Action",1104.12
"PS4","Action",1191.20
"PSP","Action",1255.97
"PSV","Action",1275.96
"SAT","Action",1276.61
"SCD","Role-Playing",778.13
"SNES","Action",1286.69
"TG16","Shooter",608.41
"Wii","Action",1405.20
"WiiU","Action",1424.51
"WS","Role-Playing",832.32
"X360","Action",1667.11
"XB","Action",1716.38
"XOne","Action",1750.16
